ID,wearable,engagement_level,pscore,ipw,outcome
45,0,0,0.06074917696482113,0.9612448324318232,0
46,1,2,0.048861617531981656,1.9882681930558113,0
47,0,0,0.1347881726640806,1.0435016853385783,1
48,0,0,0.03603518551701287,0.9366005754931391,0
49,0,0,0.07096844664793162,0.9718184455009098,0
50,0,0,0.0355831480586056,0.9361615759642151,0
51,0,0,0.15917801679930413,1.073770688729007,0
52,0,0,0.0644046021278208,0.9650004714145144,0
53,0,0,0.1732450794998281,1.0920406732550108,0
54,0,0,0.2943289200927037,1.2794204349688019,0
55,0,0,0.03898765952304312,0.9394780503565775,0
56,0,0,0.028433651574417962,0.9292726137159507,0
57,1,1,0.3226303839743217,0.3011185704314561,0
58,0,0,0.13811125060299884,1.0475249858308955,0
59,0,0,0.2491974197179932,1.202513182174711,0
60,0,0,0.031202410420172334,0.9319284128188978,0
61,0,0,0.06249228234762542,0.9630320721633537,0
62,0,0,0.06129068617568583,0.9617993416105352,0
63,0,0,0.04045973171640992,0.9409193442344074,0
64,0,0,0.1742534870914482,1.0933742811940739,0
65,0,0,0.03984039196766652,0.9403124151932658,0
66,0,0,0.08477001672999943,0.9864733635300433,0
67,0,0,0.15696542054881296,1.0709525113283662,0
68,0,0,0.10474555514113973,1.0084842417534605,0
69,0,0,0.0673020806827411,0.9679982996646925,0
70,1,4,0.4198894875933371,0.23137040309565685,0
71,0,0,0.05587299214779442,0.956280238242306,1
72,0,0,0.04397834560382838,0.9443823744454277,1
73,0,0,0.04593284561131819,0.9463170342326729,0
74,0,0,0.10924933189412142,1.0135832981408284,0
75,0,0,0.16538083737325623,1.081750863661481,0
76,0,0,0.05109156149922387,0.9514616620191056,1
77,0,0,0.04954557127916223,0.9499140334534472,0
78,0,0,0.04984076950717107,0.950209155502928,0
79,0,0,0.027183215143201597,0.9280781479657602,0
80,1,5,0.0589574297061151,1.6477991066496713,0
81,0,0,0.06412058905353864,0.9647076209175759,0
82,1,2,0.06083872828180167,1.5968446866624666,0
83,0,0,0.06548605457270198,0.9661172039407958,0
84,0,0,0.25570863015617995,1.2130330090880288,0
85,0,0,0.05588346309005648,0.9562908440889043,1
86,1,4,0.32271981803130656,0.3010351226421258,0
87,0,0,0.1358758924707583,1.044815197415782,0
88,0,0,0.06608789608345023,0.9667397994025542,0
89,0,0,0.12297071518804042,1.0294411094761542,0
90,0,0,0.12708301724198937,1.0342907949245255,0
91,0,0,0.19241019943471174,1.117956169540444,0
92,0,0,0.2504893832169365,1.2045860055658408,0
93,0,0,0.10315609922380203,1.0066969282151619,0
94,0,0,0.10288075010322054,1.0063879468685826,0
95,0,0,0.17137937909813244,1.089581863189988,0
96,0,0,0.09919414271374027,1.0022692378131302,0
97,0,0,0.05227021733602462,0.9526449590537079,0
98,1,1,0.24868604222009175,0.39065320728422276,0
99,0,0,0.14203665942212257,1.0523176892287627,1
100,0,0,0.08697615505714491,0.9888569778332686,0
101,0,0,0.36989745969563076,1.43286202205085,0
102,0,0,0.059271226508563646,0.9597346498173439,0
103,0,0,0.07070258133852358,0.9715404152314685,0
104,0,0,0.07460257886173076,0.9756348779201992,0
105,0,0,0.0365329933217427,0.9370845018478177,0
106,0,0,0.05273544481836938,0.9531128289992737,0
107,1,4,0.22311647843628152,0.4354227920814143,0
108,0,0,0.09726156292859232,1.0001235827831323,0
109,0,0,0.13132310965239125,1.0393392641521952,0
110,0,0,0.05024201642280026,0.9506105930264245,0
111,0,0,0.08912722393872947,0.9911922100734422,0
112,0,0,0.034951183496442766,0.9355485282817035,0
113,0,0,0.03356496204528651,0.9342066093864135,0
114,0,0,0.031080718988303967,0.931811367255684,0
115,0,0,0.09906336854853737,1.002123754858715,0
116,0,0,0.10096740893614496,1.004246129644232,0
117,0,0,0.1386295851902127,1.0481553399988475,1
118,0,0,0.14147773142038195,1.051632593635132,0
119,0,0,0.10893771726804932,1.01322883652062,0
120,0,0,0.03583483676668289,0.9364059545277547,0
121,0,0,0.10192860261788597,1.005320960707265,1
122,0,0,0.03765431157302699,0.9381763859467998,0
123,0,0,0.16158380765899633,1.0768518168512318,0
124,0,0,0.1457477657983429,1.0568892463520008,0
125,0,0,0.043554365136395976,0.9439637414714694,0
126,0,0,0.031323838602767363,0.9320452344957253,0
127,0,0,0.15599174481580513,1.0697170252237231,0
128,0,0,0.10400547774507125,1.0076512496167056,0
129,0,0,0.0882001470145933,0.9901844105850629,0
130,1,2,0.13174325324081174,0.7374191665247475,0
131,0,0,0.05656594888524223,0.9569826305644781,0
132,0,0,0.24169510594946475,1.1906160794733467,0
133,0,0,0.03214094239735537,0.9328321028851377,0
134,0,0,0.042283802948394594,0.9427114240934718,0
135,1,2,0.05763778542721792,1.6855262442859216,0
136,0,0,0.16792609841086426,1.0850598706143701,0
137,0,0,0.05941740770629274,0.959883807543376,0
138,0,0,0.1289924073426795,1.0365581283228942,0
139,1,5,0.20102707849693044,0.4832682279744812,0
140,0,0,0.09234811363410116,0.9947095506128213,0
141,0,0,0.07136886104407107,0.9722374817357381,0
142,0,0,0.1707833331683581,1.0887986651903712,0
143,0,0,0.039380124694550045,0.939861877949196,0
144,0,0,0.05149510799457475,0.9518664664881231,1
145,0,0,0.1830075773216633,1.1050898085934477,0
146,0,0,0.05398811651487251,0.9543749034882991,0
147,0,0,0.12103610465875558,1.0271752967161232,0
148,0,0,0.06107303227625641,0.9615763856359324,1
149,1,2,0.05126764371996147,1.8949573834669997,0
150,0,0,0.1016770784621431,1.0050394778464473,0
151,0,0,0.17475708134320153,1.0940414992829264,0
152,0,0,0.037672077160630466,0.9381937056715802,0
153,0,0,0.05706706163485215,0.9574912098894957,0
154,0,0,0.09483591337759077,0.9974434617361574,0
155,0,0,0.036299355744239925,0.9368573170324578,1
156,0,0,0.04726797372074936,0.9476431725779656,0
157,0,0,0.03747358138861736,0.9380002278819797,0
158,0,0,0.17536020484557224,1.0948416572969597,0
159,0,0,0.026235642834556542,0.9271750330111002,0
160,0,0,0.06860651039005852,0.9693539949243224,0
161,0,0,0.11342616165564878,1.0183584953126357,0
162,0,0,0.09075777908969028,0.9929697271382669,0
163,0,0,0.13266197723207385,1.0409436416942115,0
164,0,0,0.3528793766595864,1.3951803843608277,0
165,0,0,0.08479246277512648,0.9864975574147458,0
166,0,0,0.029302423411544265,0.9301043103177354,1
167,0,0,0.07072046225532636,0.9715591093193395,0
168,0,0,0.08137198439084883,0.9828243692319945,0
169,0,0,0.06479053020724199,0.9653986931932734,0
170,0,0,0.09947780208143035,1.0025849469193695,1
171,0,0,0.03912492329024699,0.9396122574970507,0
172,0,0,0.03056372496137809,0.9313144383460723,1
173,0,0,0.06736921298258258,0.9680679777763347,0
174,0,0,0.22431220335833055,1.1639347736406018,0
